Company Name,number_of_employees,company_description,revenue_growth_percentage,industry,lead_converted,revenue_amount_aed,founded_year
Wordware,79,"Wordware specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",75.79,Manufacturing,True,36762713,1946
Minyx,47,"Minyx provides a wide range of financial services, helping businesses and individuals achieve their financial goals.",79.84,Finance,False,10186589,1913
Oozz,90,"Oozz offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",94.74,Technology,True,39229579,1902
Jaxnation,93,"Jaxnation is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",40.31,Hospitality,True,45926629,1909
Ainyx,37,"Ainyx offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",67.64,Technology,True,5454635,1936
Quire,11,Quire is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,88.92,Education,False,42636205,1901
Twinder,99,"Twinder is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",87.63,Hospitality,False,44627322,1948
Yadel,70,"Yadel is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",39.53,Hospitality,True,11249393,1931
Jabbercube,86,Jabbercube is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,87.65,Education,False,11780898,1934
Twitterworks,94,"Twitterworks provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",61.21,Transportation,False,14212144,1979
Yodo,89,"Yodo offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",19.53,Technology,True,10932482,2000
Chatterpoint,76,"Chatterpoint provides a wide range of financial services, helping businesses and individuals achieve their financial goals.",48.61,Finance,True,14898830,1957
Mynte,20,"Mynte provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",73.14,Transportation,False,49616569,1961
Twiyo,16,Twiyo is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,13.26,Education,False,20410423,2016
Lazzy,19,"Lazzy offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",13.69,Technology,False,23499093,1960
Camido,98,"Camido provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",35.3,Transportation,False,43158243,1986
Jazzy,81,"Jazzy is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",74.42,Hospitality,False,20037500,2016
Oyoba,36,"Oyoba offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",50.66,Retail,True,45225588,1972
Thoughtmix,51,"Thoughtmix specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",19.87,Manufacturing,False,33785041,1941
Agivu,59,"Agivu is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",65.34,Hospitality,True,46802822,1914
Tambee,98,"Tambee provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",7.06,Transportation,True,15300330,1910
Devify,71,"Devify provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",76.86,Transportation,True,35185126,1921
Linkbuzz,99,"Linkbuzz offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",42.45,Technology,False,35752755,1920
Twitterwire,26,"Twitterwire is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",15.29,Hospitality,False,29457165,1934
Roomm,42,"Roomm offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",22.29,Retail,True,4386515,1909
Devshare,85,"Devshare offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",84.73,Retail,False,4078682,1917
Jaxbean,29,"Jaxbean provides a wide range of financial services, helping businesses and individuals achieve their financial goals.",24.69,Finance,True,8084569,1947
Janyx,66,"Janyx offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",98.24,Technology,True,13903525,1927
Thoughtsphere,13,"Thoughtsphere is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",56.35,Healthcare,True,22605789,1995
Flashdog,64,"Flashdog provides a wide range of financial services, helping businesses and individuals achieve their financial goals.",23.66,Finance,False,17672639,1991
Divanoodle,65,"Divanoodle offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",33.65,Technology,True,17493548,1968
Riffpedia,55,"Riffpedia specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",9.43,Manufacturing,True,14536255,1984
Meevee,93,"Meevee offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",28.94,Technology,True,21256873,1923
Twitternation,68,"Twitternation is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",16.85,Healthcare,True,8126148,1966
Zoomcast,39,"Zoomcast offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",14.82,Retail,False,5675179,2004
Quimm,60,"Quimm specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",4.98,Manufacturing,False,8284344,1979
Cogilith,38,Cogilith is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,66.33,Education,False,10100679,1946
Voomm,30,"Voomm offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",80.8,Retail,True,45419786,1944
Topicblab,30,"Topicblab specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",15.51,Manufacturing,False,19164924,1990
Buzzdog,59,"Buzzdog is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",20.4,Hospitality,False,42903751,2009
Jayo,15,"Jayo provides a wide range of financial services, helping businesses and individuals achieve their financial goals.",72.22,Finance,False,20715587,1902
Tagcat,71,"Tagcat is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",16.45,Hospitality,False,8344280,1944
Voolith,85,"Voolith is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",61.45,Hospitality,True,42881316,1979
Chatterpoint,38,"Chatterpoint offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",91.93,Technology,True,20541735,1993
Trudoo,79,"Trudoo offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",32.07,Technology,False,48948293,2023
Quaxo,20,"Quaxo is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",59.47,Healthcare,True,6686919,1941
Photojam,69,"Photojam provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",75.2,Transportation,True,49724796,2008
Voonix,77,"Voonix provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",99.17,Transportation,False,3493859,1936
Ainyx,39,"Ainyx specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",38.08,Manufacturing,False,13433474,1943
Jaloo,48,"Jaloo specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",53.71,Manufacturing,False,48762575,1917
Vipe,88,"Vipe offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",97.2,Technology,True,31232721,1993
Photojam,75,"Photojam offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",22.56,Technology,False,44604843,2003
Avamba,32,"Avamba offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",25.93,Retail,True,24156254,2020
Jabberstorm,10,Jabberstorm is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,85.26,Education,True,45255070,1947
Yadel,56,"Yadel specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",69.13,Manufacturing,True,8245543,2016
Fivechat,27,"Fivechat provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",67.18,Transportation,False,44418669,1935
Kimia,36,Kimia is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,90.82,Education,True,31763451,2003
Rhynyx,43,"Rhynyx specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",85.9,Manufacturing,False,37439725,2000
Edgeify,70,"Edgeify is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",17.64,Hospitality,True,29185106,2016
Innotype,74,Innotype is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,93.97,Education,True,47982457,1942
Bluezoom,13,"Bluezoom is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",95.39,Healthcare,False,14556547,1980
Trilia,67,"Trilia is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",64.09,Healthcare,True,38151047,1987
Vidoo,91,"Vidoo specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",93.85,Manufacturing,True,22392848,1984
Trudeo,35,"Trudeo is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",1.82,Healthcare,False,9861683,1953
Yozio,61,"Yozio offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",14.14,Technology,False,11574087,1969
Trudoo,10,"Trudoo offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",13.5,Retail,False,39481363,2013
Skyvu,98,"Skyvu specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",79.18,Manufacturing,False,34606384,1929
Brainbox,87,Brainbox is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,81.19,Education,True,24170282,1990
Avamm,53,"Avamm is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",14.78,Hospitality,True,22052001,1961
Jabbersphere,48,"Jabbersphere offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",98.39,Retail,False,35100352,1964
Fiveclub,63,"Fiveclub specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",45.88,Manufacturing,True,17621797,2006
Skipstorm,24,"Skipstorm provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",46.93,Transportation,False,44618799,1968
Tazz,68,"Tazz is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",16.44,Hospitality,False,46937140,2001
Demivee,59,"Demivee provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",9.99,Transportation,True,26545001,1978
Eabox,32,"Eabox specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",59.69,Manufacturing,True,27662510,2024
Yambee,97,"Yambee offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",86.79,Retail,True,35029549,1986
Rhynoodle,16,"Rhynoodle specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",76.87,Manufacturing,True,7470083,1943
Podcat,25,"Podcat offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",55.5,Retail,True,42462289,1977
Thoughtworks,67,"Thoughtworks offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",28.87,Technology,True,44487889,2015
Bluejam,47,"Bluejam provides a wide range of financial services, helping businesses and individuals achieve their financial goals.",80.17,Finance,False,32464913,1939
Meeveo,56,Meeveo is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,63.19,Education,False,17271678,1913
Meedoo,32,"Meedoo is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",48.96,Healthcare,True,22676843,1986
Eimbee,49,"Eimbee is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",36.58,Hospitality,True,38194987,2006
Fivechat,21,"Fivechat is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",54.2,Hospitality,True,48937228,1993
Avavee,64,"Avavee is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",20.26,Hospitality,True,22148261,1989
Jabbertype,73,"Jabbertype offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",10.9,Retail,True,43338276,1906
Gigazoom,49,"Gigazoom provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",56.45,Transportation,True,16448369,1998
Skyble,71,"Skyble provides a wide range of financial services, helping businesses and individuals achieve their financial goals.",41.16,Finance,False,22781113,1931
Yombu,59,"Yombu provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",53.11,Transportation,False,25862918,1978
Topicshots,64,Topicshots is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,30.54,Education,True,22642688,1901
Minyx,54,Minyx is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,66.85,Education,False,10583777,2015
Mynte,24,"Mynte offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",62.16,Technology,False,7175926,1968
Zoonder,41,"Zoonder is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",39.67,Healthcare,True,13542907,1991
Zooveo,69,"Zooveo is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",83.94,Healthcare,True,11920610,2008
Topdrive,94,"Topdrive is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",52.55,Hospitality,True,24152089,2009
Jayo,59,"Jayo is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",41.58,Healthcare,True,43119790,2003
Shuffledrive,85,"Shuffledrive specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",44.92,Manufacturing,False,2931355,2009
Zoombox,35,"Zoombox provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",2.23,Transportation,False,46935865,1987
Dynabox,84,"Dynabox offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",72.95,Technology,True,6686889,2011
Skiba,32,"Skiba is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",95.38,Healthcare,True,11898121,2011
Linkbridge,91,"Linkbridge is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",84.76,Hospitality,False,21027041,1987
Brainverse,83,Brainverse is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,80.97,Education,False,46104105,1946
Flashset,99,"Flashset is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",48.15,Hospitality,False,6575284,1903
Pixope,79,Pixope is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,9.12,Education,True,18070234,1913
Vidoo,25,"Vidoo offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",26.2,Technology,True,2699636,1970
Chatterbridge,39,"Chatterbridge provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",33.78,Transportation,False,14403912,1963
Quaxo,31,"Quaxo provides a wide range of financial services, helping businesses and individuals achieve their financial goals.",31.83,Finance,False,5582730,1912
Wordpedia,27,"Wordpedia offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",44.65,Technology,False,20009233,1942
Wordpedia,12,Wordpedia is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,85.14,Education,True,13072694,1994
Bubbletube,68,Bubbletube is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,24.62,Education,False,35714531,1998
Jatri,75,"Jatri offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",98.98,Retail,True,43966807,1907
Jabbersphere,43,"Jabbersphere is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",81.25,Healthcare,True,4414145,1947
Zooxo,91,"Zooxo offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",84.53,Retail,True,10352493,1930
Dynazzy,90,"Dynazzy is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",15.86,Hospitality,False,25107033,2015
Ntags,34,Ntags is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,11.97,Education,False,24506013,1960
Zoovu,43,"Zoovu provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",50.04,Transportation,False,38392094,1956
Realbridge,60,"Realbridge offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",42.8,Retail,True,5888224,2010
Realbridge,87,"Realbridge is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",95.07,Hospitality,False,34624516,1980
Devshare,21,"Devshare provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",18.04,Transportation,True,44401207,1950
Skilith,85,"Skilith is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",66.96,Healthcare,True,19515692,1923
Realpoint,43,"Realpoint is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",22.92,Healthcare,True,34585003,1909
Wikido,31,Wikido is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,23.05,Education,True,4692837,1978
Blogpad,72,"Blogpad offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",4.07,Retail,False,11294550,1908
Mudo,38,"Mudo is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",0.15,Healthcare,False,46811941,1932
Edgewire,39,Edgewire is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,18.51,Education,False,34810459,1979
Nlounge,69,"Nlounge provides a wide range of financial services, helping businesses and individuals achieve their financial goals.",53.66,Finance,True,15417911,1966
Skyvu,46,"Skyvu provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",82.63,Transportation,True,23686656,1988
Browseblab,19,"Browseblab specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",69.73,Manufacturing,True,5331068,1924
Rhycero,44,"Rhycero specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",79.22,Manufacturing,False,16599544,2013
Reallinks,80,"Reallinks offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",98.41,Technology,True,49457518,2023
Viva,71,Viva is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,42.62,Education,True,46874704,1990
Gigaclub,91,"Gigaclub offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",84.51,Retail,False,21237401,1989
Tekfly,19,"Tekfly offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",82.97,Retail,True,3984037,1966
Mynte,16,Mynte is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,83.15,Education,True,41012058,1989
Skiptube,21,"Skiptube offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",82.28,Retail,False,47825865,1957
Linkbuzz,48,"Linkbuzz offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",87.16,Retail,False,21468029,1955
Lajo,80,Lajo is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,53.36,Education,True,31103829,1980
Layo,98,"Layo provides a wide range of financial services, helping businesses and individuals achieve their financial goals.",65.65,Finance,False,2291156,1986
Quatz,49,"Quatz offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",99.57,Technology,True,11947308,1969
Voonte,20,"Voonte provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",97.09,Transportation,False,19781418,1904
Twitterlist,16,"Twitterlist specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",13.48,Manufacturing,True,26832149,2017
Quinu,52,"Quinu is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",74.64,Hospitality,False,4173422,1957
Roomm,19,"Roomm offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",55.73,Technology,True,29170914,1960
Ntag,35,"Ntag provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",46.64,Transportation,True,4301654,1982
Jabbersphere,64,"Jabbersphere is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",13.07,Hospitality,False,12747260,1997
Trudeo,85,"Trudeo offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",69.03,Retail,True,7038624,1993
Kaymbo,73,"Kaymbo specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",83.56,Manufacturing,True,28994497,1913
Podcat,98,"Podcat offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",92.74,Technology,False,19160900,1961
Topicshots,89,"Topicshots offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",74.74,Technology,False,31824472,1989
Mita,70,"Mita offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",68.64,Retail,False,43478073,1902
Skalith,93,"Skalith specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",29.16,Manufacturing,True,29956627,1963
Mydeo,87,Mydeo is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,36.11,Education,False,31829760,1943
Skalith,87,"Skalith offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",66.56,Retail,True,38984031,2008
Pixonyx,82,"Pixonyx is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",75.07,Healthcare,False,3597933,1936
Meembee,97,"Meembee specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",32.41,Manufacturing,True,5863008,1979
Eabox,60,"Eabox is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",70.99,Hospitality,False,23021870,1934
Thoughtsphere,43,"Thoughtsphere offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",17.28,Technology,False,34480919,1922
Skibox,44,"Skibox is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",19.07,Healthcare,True,31036179,1969
Quatz,43,"Quatz offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",16.78,Retail,False,19707128,1953
Zooxo,34,"Zooxo is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",14.07,Hospitality,True,32064883,1912
Yadel,61,"Yadel is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",49.66,Hospitality,False,31799829,2014
Oyoyo,57,"Oyoyo offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",63.01,Technology,False,6834617,1961
Abatz,52,"Abatz is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",82.99,Healthcare,True,16971510,2009
Abata,100,"Abata offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",60.48,Technology,True,26905101,1954
Livetube,56,"Livetube offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",6.6,Technology,False,14453181,1946
Linklinks,75,"Linklinks offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",92.59,Retail,True,46996774,1948
Meedoo,29,"Meedoo offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",36.84,Technology,True,29827298,1933
Zoonder,20,"Zoonder offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",51.06,Technology,True,14492289,1972
Livefish,46,"Livefish offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",75.45,Technology,True,11489873,1901
Gabtune,34,"Gabtune offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",27.19,Retail,True,21215021,1948
Skiptube,67,"Skiptube offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",11.42,Technology,False,34247812,2021
Topicblab,75,"Topicblab provides a wide range of financial services, helping businesses and individuals achieve their financial goals.",31.03,Finance,False,7432401,1952
Voolith,30,"Voolith specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",56.2,Manufacturing,False,15768449,1997
Ainyx,54,Ainyx is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,95.62,Education,False,22790467,2019
Photobug,88,"Photobug is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",13.93,Healthcare,True,20633973,1955
Dabjam,93,"Dabjam specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",87.25,Manufacturing,True,37247734,1988
Thoughtmix,78,"Thoughtmix is a leader in the Healthcare field, offering state-of-the-art solutions for medical services and patient care.",88.55,Healthcare,True,19613747,2019
Livetube,76,"Livetube offers advanced Technology solutions, empowering businesses with the latest innovations in the tech space.",37.81,Technology,True,41708417,1953
Wikivu,77,"Wikivu provides a wide range of financial services, helping businesses and individuals achieve their financial goals.",78.76,Finance,True,45759637,1932
Kimia,86,Kimia is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,36.28,Education,True,31910054,1962
Dabshots,98,Dabshots is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,8.23,Education,True,49650826,1919
Jabberstorm,47,Jabberstorm is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,49.95,Education,False,47467973,1986
Livefish,89,"Livefish provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",53.85,Transportation,False,45742803,1921
Jatri,19,"Jatri provides a wide range of financial services, helping businesses and individuals achieve their financial goals.",82.15,Finance,False,47682090,1924
Linktype,28,"Linktype is a renowned name in the Hospitality, offering exceptional service and experiences for clients in the hospitality sector.",8.73,Hospitality,False,8956085,1919
Thoughtbeat,43,"Thoughtbeat provides reliable Transportation solutions, ensuring the safe and efficient movement of goods and people.",85.35,Transportation,False,25627148,2019
Jaxworks,90,Jaxworks is committed to revolutionizing the Education sector with cutting-edge educational tools and services.,95.18,Education,False,16377879,1976
Skimia,75,"Skimia specializes in producing high-quality products for the Manufacturing sector, with a focus on innovation and efficiency.",31.12,Manufacturing,True,30808681,1923
Yamia,59,"Yamia offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",17.11,Retail,False,5402820,1966
Topicware,56,"Topicware offers specialized services in the Retail sector, with a focus on customer satisfaction and innovation.",21.86,Retail,True,11936605,1949
